[2024-10-14 21:09:38] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/coat-of-arms-logotype-871x1024.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/coat-of-arms-logotype-871x1024.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-rifqimd..png to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-rifqimd..png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-192x192.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-192x192.jpeg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-270x270.jpeg to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-coat-of-arms-square-Small-270x270.jpeg
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2023/02/cropped-rifqimd.-300x80.png to queue as: http://matrimony.local/wp-content/uploads/2023/02/cropped-rifqimd.-300x80.png
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/.DS_Store to queue as: http://matrimony.local/wp-content/uploads/.DS_Store
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/simply-static/22d1d8612f09c4652c357e53b9951292-debug.txt to queue as: http://matrimony.local/wp-content/uploads/simply-static/22d1d8612f09c4652c357e53b9951292-debug.txt
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/audio_peaks/308.peak to queue as: http://matrimony.local/wp-content/uploads/audio_peaks/308.peak
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael-734.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael-734.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael-632.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael-632.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael-455.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael-455.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael-2.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael-2.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/essential-addons-elementor/eael-7.js to queue as: http://matrimony.local/wp-content/uploads/essential-addons-elementor/eael-7.js
[2024-10-14 21:09:41] [class-ss-setup-task.php:124] Adding files from directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/.DS_Store to queue as: http://matrimony.local/wp-content/.DS_Store
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/index.php to queue as: http://matrimony.local/wp-content/index.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/upgrade-temp-backup/.DS_Store to queue as: http://matrimony.local/wp-content/upgrade-temp-backup/.DS_Store
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/.DS_Store to queue as: http://matrimony.local/wp-content/plugins/.DS_Store
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/index.php to queue as: http://matrimony.local/wp-content/plugins/index.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/autoload.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/autoload.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/index.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/index.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/essential_adons_elementor.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/essential_adons_elementor.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/includes/index.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/includes/index.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Shared.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Shared.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Woo_Product_Comparable.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Woo_Product_Comparable.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/index.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/index.php
[2024-10-14 21:09:41] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Template_Query.php to queue as: http://matrimony.local/wp-content/plugins/essential-addons-for-elementor-lite/includes/Traits/Template_Query.php
